job tile,company name,location,job skills,links,salary
Agentic AI Developer,Genesis A -,"Sheraton, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Strategy/Consulting · Engineering - Telecom/Technology · AI · Computer Science · Development · English · Communication · Python · Agentic,https://wuzzuf.net/jobs/p/g3tvcwn7z8v0-agentic-ai-developer-genesis-a-cairo-egypt,Not Available
Performance Data Manager,MEAHCO - Saudi German Health -,"Katameya, Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Human Resources · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Python · Power BI · RPA · Tableau · QlikView · Automation,https://wuzzuf.net/jobs/p/ndvbduwlzjmq-performance-data-manager-meahco---saudi-german-health-cairo-egypt,Not Available
Midlevel Odoo Developer,Algoriza -,"6th of October, Giza, Egypt ",Full TimeRemoteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Odoo Developer · Python · developer · Computer Science,https://wuzzuf.net/jobs/p/btdomzqjxox0-midlevel-odoo-developer-algoriza-giza-egypt,Not Available
Senior Technical Operations Engineer,Al Ahly Momkn for e-payment -,"Maadi, Cairo, Egypt ",Full TimeHybridExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Information Technology (IT) · technical · Operations · Technical Operations · Technical Support · engineer,https://wuzzuf.net/jobs/p/hm8ovwbug3te-senior-technical-operations-engineer-al-ahly-momkn-for-e-payment-cairo-egypt,Not Available
Data Analyst,NuCorp -,"Sheraton, Cairo, Egypt ",Full TimeOn-siteExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Power BI · Data Analysis · Python · Reporting · Statistics · Information Technology (IT) · excel,https://wuzzuf.net/jobs/p/qoc5v48otzkk-data-analyst-nucorp-cairo-egypt,Not Available
Senior Odoo Developer,Elsewedy industries -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Odoo · Odoo Development · Programming · Software Development · Software Engineering · SQL · Information Technology (IT),https://wuzzuf.net/jobs/p/cwb385polbxv-senior-odoo-developer-elsewedy-industries-cairo-egypt,Not Available
Embedded Systems Developer,Fruitful Solutions -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteEntry Level · 0 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ · QT · javaScript · C · HTML · SQL · XML · Design,https://wuzzuf.net/jobs/p/gsUc1CmkNImt-Embedded-Systems-Developer-Fruitful-Solutions-Cairo-Egypt,Not Available
Programming Instructor Internship,DIGITAL SCHOOL By Berlitz  -,"New Cairo, Cairo, Egypt ",InternshipOn-siteStudent · 0 - 1 Yrs of Exp · IT/Software Development · Education/Teaching · Computer Engineering · Computer Science · Programming · Teaching · Python · JavaScript · Education,https://wuzzuf.net/internship/0itexnt9gayz-programming-instructor-internship-digital-school-by-berlitz-cairo-egypt,Not Available
Senior Odoo Developer,OdooTec -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo · Software Engineering · Programming · Computer Science,https://wuzzuf.net/jobs/p/xg9oyeazmrll-senior-odoo-developer-odootec-cairo-egypt,Not Available
Odoo Developer,E-tech -,"Heliopolis, Cairo, Egypt ",Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo Modules · Odoo Development · Odoo · PostgreSQL · Programming · Python · Development · Computer Science,https://wuzzuf.net/jobs/p/winpbnnii5yj-odoo-developer-e-tech-cairo-egypt,Not Available
Senior AI Engineer,Lumin -,"Sheikh Zayed, Giza, Egypt ",Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · AI · Artificial Intelligence · Computer Vision · Machine Learning · TensorFlow · Python · Computer Science · Programming · PyTorch,https://wuzzuf.net/jobs/p/jQuD5uCDAOds-Senior-AI-Engineer-Lumin-Giza-Egypt,Not Available
Freelance Django Developer,AlienCode -,"Sidon, Lebanon ",Freelance / ProjectRemoteExperienced · IT/Software Development · APIs · Cloud · Django · ORM · PostgreSQL · Python · REST · Rest APIs,https://wuzzuf.net/jobs/p/fgcciwsacpqj-freelance-django-developer-aliencode-sidon-lebanon,Not Available
